Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,day_of_year_sin,day_of_year_cos,hour_sin,hour_cos
0.0,0.7420033759045692,0.75,0.7714285714285714,0.7093023255813953,0.2,0.32380952380952266,0,-0.8800122039735356,-0.4749510720670502,0.25881904510252074,0.9659258262890683
0.0,0.5299310765688044,0.75,0.7714285714285714,0.7325581395348837,0.125,0.3523809523809547,0,-0.8800122039735356,-0.4749510720670502,0.8660254037844386,0.5000000000000001
1.0,0.3178587781496633,0.75,0.7714285714285714,0.6511627906976745,0.0,0.39047619047619264,5418,-0.8800122039735356,-0.4749510720670502,0.9659258262890683,-0.25881904510252063
1.0,0.10578647881389852,0.75,0.7714285714285714,0.22093023255813954,0.0,0.40952380952380807,25477,-0.8800122039735356,-0.4749510720670502,0.49999999999999994,-0.8660254037844387
1.0,0.013888481946201209,0.75,0.7714285714285714,0.08139534883720928,0.07500000000000001,0.39047619047619264,30069,-0.8800122039735356,-0.4749510720670502,-0.2588190451025208,-0.9659258262890683
1.0,0.22596078128196598,0.75,0.7714285714285714,0.0697674418604651,0.5750000000000001,0.3523809523809547,16280,-0.8800122039735356,-0.4749510720670502,-0.8660254037844385,-0.5000000000000004
1.0,0.43803308061773083,0.75,0.7714285714285714,0.25581395348837205,0.375,0.33333333333333215,515,-0.8800122039735356,-0.4749510720670502,-0.9659258262890684,0.2588190451025203
0.0,0.6501053799534955,0.75,0.7714285714285714,0.4069767441860465,0.15000000000000002,0.3619047619047606,0,-0.8800122039735356,-0.4749510720670502,-0.5000000000000004,0.8660254037844384
0.0,0.7440348246352981,0.8333333333333335,0.7999999999999999,0.6162790697674418,0.15000000000000002,0.3619047619047606,0,-0.888057322629493,-0.4597327394521046,0.25881904510252074,0.9659258262890683
0.0,0.5314159472273613,0.8333333333333335,0.7999999999999999,0.4069767441860465,0.0,0.37142857142857366,0,-0.888057322629493,-0.4597327394521046,0.8660254037844386,0.5000000000000001
1.0,0.3187970698194244,0.8333333333333335,0.7999999999999999,0.46511627906976744,0.0,0.3999999999999986,4939,-0.888057322629493,-0.4597327394521046,0.9659258262890683,-0.25881904510252063
1.0,0.10617819241148749,0.8333333333333335,0.7999999999999999,0.5813953488372092,0.0,0.4190476190476211,24335,-0.888057322629493,-0.4597327394521046,0.49999999999999994,-0.8660254037844387
1.0,0.014043345504160719,0.8333333333333335,0.7999999999999999,0.10465116279069764,0.225,0.3809523809523796,29025,-0.888057322629493,-0.4597327394521046,-0.2588190451025208,-0.9659258262890683
1.0,0.22666222291209762,0.8333333333333335,0.7999999999999999,0.18604651162790697,0.45,0.34285714285714164,15408,-0.888057322629493,-0.4597327394521046,-0.8660254037844385,-0.5000000000000004
1.0,0.43928110032003453,0.8333333333333335,0.7999999999999999,0.5930232558139534,0.275,0.34285714285714164,491,-0.888057322629493,-0.4597327394521046,-0.9659258262890684,0.2588190451025203
0.0,0.6518999777279714,0.8333333333333335,0.7999999999999999,0.7093023255813953,0.125,0.3523809523809547,0,-0.888057322629493,-0.4597327394521046,-0.5000000000000004,0.8660254037844384
0.0,0.7471017078887564,0.8611111111111112,0.7999999999999999,0.6744186046511627,0.15000000000000002,0.34285714285714164,0,-0.8958392907349089,-0.4443781781046134,0.25881904510252074,0.9659258262890683
0.0,0.5336576602466983,0.8611111111111112,0.7999999999999999,0.7441860465116279,0.15000000000000002,0.3619047619047606,0,-0.8958392907349089,-0.4443781781046134,0.8660254037844386,0.5000000000000001
1.0,0.3202136126046401,0.8611111111111112,0.7999999999999999,0.569767441860465,0.0,0.3809523809523796,4854,-0.8958392907349089,-0.4443781781046134,0.9659258262890683,-0.25881904510252063
1.0,0.10676956496258189,0.8611111111111112,0.7999999999999999,0.6395348837209303,0.07500000000000001,0.3809523809523796,23855,-0.8958392907349089,-0.4443781781046134,0.49999999999999994,-0.8660254037844387
1.0,0.014277144103811201,0.8611111111111112,0.7999999999999999,0.22093023255813954,0.25,0.34285714285714164,28339,-0.8958392907349089,-0.4443781781046134,-0.2588190451025208,-0.9659258262890683
1.0,0.22772119174586938,0.8611111111111112,0.7999999999999999,0.1511627906976744,0.5,0.31428571428571317,15308,-0.8958392907349089,-0.4443781781046134,-0.8660254037844385,-0.5000000000000004
1.0,0.4411652393879275,0.8611111111111112,0.7999999999999999,0.45348837209302323,0.35000000000000003,0.31428571428571317,455,-0.8958392907349089,-0.4443781781046134,-0.9659258262890684,0.2588190451025203
0.0,0.6546092870299857,0.8611111111111112,0.7999999999999999,0.6511627906976745,0.15000000000000002,0.3523809523809547,0,-0.8958392907349089,-0.4443781781046134,-0.5000000000000004,0.8660254037844384
0.0,0.7491595553792914,0.9444444444444446,0.8285714285714285,0.6860465116279069,0.0,0.33333333333333215,0,-0.9033558023246842,-0.4288919379124841,0.25881904510252074,0.9659258262890683
0.0,0.5351618267487508,0.9444444444444446,0.8285714285714285,0.7441860465116279,0.15000000000000002,0.32380952380952266,0,-0.9033558023246842,-0.4288919379124841,0.8660254037844386,0.5000000000000001
1.0,0.32116409811821023,0.9444444444444446,0.8285714285714285,0.6511627906976745,0.0,0.34285714285714164,4750,-0.9033558023246842,-0.4288919379124841,0.9659258262890683,-0.25881904510252063
1.0,0.10716636948766958,0.9444444444444446,0.8285714285714285,0.5813953488372092,0.07500000000000001,0.3523809523809547,23555,-0.9033558023246842,-0.4288919379124841,0.49999999999999994,-0.8660254037844387
1.0,0.01443402056720594,0.9444444444444446,0.8285714285714285,0.5581395348837208,0.15000000000000002,0.2952380952380942,27741,-0.9033558023246842,-0.4288919379124841,-0.2588190451025208,-0.9659258262890683
1.0,0.22843174919774653,0.9444444444444446,0.8285714285714285,0.18604651162790697,0.375,0.25714285714285623,14917,-0.9033558023246842,-0.4288919379124841,-0.8660254037844385,-0.5000000000000004
1.0,0.4424294778282872,0.9444444444444446,0.8285714285714285,0.1511627906976744,0.42500000000000004,0.24761904761904674,429,-0.9033558023246842,-0.4288919379124841,-0.9659258262890684,0.2588190451025203
0.0,0.6564272064588277,0.9444444444444446,0.8285714285714285,0.22093023255813954,0.125,0.2761904761904752,0,-0.9033558023246842,-0.4288919379124841,-0.5000000000000004,0.8660254037844384
0.0,0.7510729035749614,0.9722222222222223,0.7999999999999999,0.45348837209302323,0.07500000000000001,0.2761904761904752,0,-0.9106046300942162,-0.41327860778290443,0.25881904510252074,0.9659258262890683
0.0,0.536239246299055,0.9722222222222223,0.7999999999999999,0.6511627906976745,0.17500000000000002,0.26666666666666927,0,-0.9106046300942162,-0.41327860778290443,0.8660254037844386,0.5000000000000001
1.0,0.3214055890231486,0.9722222222222223,0.7999999999999999,0.5465116279069768,0.0,0.3047619047619037,4804,-0.9106046300942162,-0.41327860778290443,0.9659258262890683,-0.25881904510252063
1.0,0.10657193174724214,0.9722222222222223,0.7999999999999999,0.5813953488372092,0.07500000000000001,0.32380952380952266,23551,-0.9106046300942162,-0.41327860778290443,0.49999999999999994,-0.8660254037844387
1.0,0.015864386952999236,0.9722222222222223,0.7999999999999999,0.4069767441860465,0.125,0.28571428571428825,27963,-0.9106046300942162,-0.41327860778290443,-0.2588190451025208,-0.9659258262890683
1.0,0.2306980442289057,0.9722222222222223,0.7999999999999999,0.05813953488372092,0.55,0.25714285714285623,14980,-0.9106046300942162,-0.41327860778290443,-0.8660254037844385,-0.5000000000000004
1.0,0.44553170150481214,0.9722222222222223,0.7999999999999999,0.4302325581395348,0.375,0.26666666666666927,423,-0.9106046300942162,-0.41327860778290443,-0.9659258262890684,0.2588190451025203
0.0,0.6603653587807186,0.9722222222222223,0.7999999999999999,0.26744186046511625,0.2,0.2952380952380942,0,-0.9106046300942162,-0.41327860778290443,-0.5000000000000004,0.8660254037844384
0.0,0.7521123703249265,0.9166666666666665,0.8285714285714285,0.49999999999999994,0.15000000000000002,0.28571428571428825,0,-0.9175836260593934,-0.3975428142825566,0.25881904510252074,0.9659258262890683
0.0,0.5369986176243596,0.9166666666666665,0.8285714285714285,0.6860465116279069,0.07500000000000001,0.28571428571428825,0,-0.9175836260593934,-0.3975428142825566,0.8660254037844386,0.5000000000000001
1.0,0.3218848640071693,0.9166666666666665,0.8285714285714285,0.441860465116279,0.07500000000000001,0.31428571428571317,4562,-0.9175836260593934,-0.3975428142825566,0.9659258262890683,-0.25881904510252063
1.0,0.10677111038997888,0.9166666666666665,0.8285714285714285,0.6046511627906976,0.07500000000000001,0.32380952380952266,22761,-0.9175836260593934,-0.3975428142825566,0.49999999999999994,-0.8660254037844387
1.0,0.015945303734922846,0.9166666666666665,0.8285714285714285,0.17441860465116277,0.4,0.2952380952380942,28193,-0.9175836260593934,-0.3975428142825566,-0.2588190451025208,-0.9659258262890683
1.0,0.23105905735211327,0.9166666666666665,0.8285714285714285,0.2906976744186046,0.45,0.25714285714285623,14835,-0.9175836260593934,-0.3975428142825566,-0.8660254037844385,-0.5000000000000004
1.0,0.44617281005268006,0.9166666666666665,0.8285714285714285,0.49999999999999994,0.35000000000000003,0.24761904761904674,375,-0.9175836260593934,-0.3975428142825566,-0.9659258262890684,0.2588190451025203
0.0,0.6612865636698704,0.9166666666666665,0.8285714285714285,0.5930232558139534,0.2,0.26666666666666927,0,-0.9175836260593934,-0.3975428142825566,-0.5000000000000004,0.8660254037844384
0.0,0.7540473306719405,0.5555555555555556,0.7999999999999999,0.7790697674418605,0.2,0.26666666666666927,0,-0.9242907221930934,-0.3816892202666586,0.25881904510252074,0.9659258262890683
0.0,0.5380888900708445,0.5555555555555556,0.7999999999999999,0.8488372093023255,0.17500000000000002,0.24761904761904674,0,-0.9242907221930934,-0.3816892202666586,0.8660254037844386,0.5000000000000001
1.0,0.32213044946974845,0.5555555555555556,0.7999999999999999,0.8139534883720929,0.2,0.26666666666666927,2963,-0.9242907221930934,-0.3816892202666586,0.9659258262890683,-0.25881904510252063
1.0,0.10617200795202875,0.5555555555555556,0.7999999999999999,0.627906976744186,0.35000000000000003,0.2761904761904752,24553,-0.9242907221930934,-0.3816892202666586,0.49999999999999994,-0.8660254037844387
1.0,0.017389094073402257,0.5555555555555556,0.7999999999999999,0.5465116279069768,0.55,0.23809523809523725,29986,-0.9242907221930934,-0.3816892202666586,-0.2588190451025208,-0.9659258262890683
1.0,0.23334753467449834,0.5555555555555556,0.7999999999999999,0.6511627906976745,0.625,0.21904761904761827,15403,-0.9242907221930934,-0.3816892202666586,-0.8660254037844385,-0.5000000000000004
1.0,0.4493059752755944,0.5555555555555556,0.7999999999999999,0.8488372093023255,0.55,0.23809523809523725,379,-0.9242907221930934,-0.3816892202666586,-0.9659258262890684,0.2588190451025203
0.0,0.6652644158766904,0.5555555555555556,0.7999999999999999,0.8837209302325582,0.325,0.25714285714285623,0,-0.9242907221930934,-0.3816892202666586,-0.5000000000000004,0.8660254037844384
0.0,0.7561477140808366,0.6111111111111112,0.8571428571428571,0.8837209302325582,0.17500000000000002,0.26666666666666927,0,-0.9307239310379793,-0.3657225234972692,0.25881904510252074,0.9659258262890683
0.0,0.539622453608513,0.6111111111111112,0.8571428571428571,0.8488372093023255,0.125,0.25714285714285623,0,-0.9307239310379793,-0.3657225234972692,0.8660254037844386,0.5000000000000001
1.0,0.3230971922195658,0.6111111111111112,0.8571428571428571,0.8488372093023255,0.0,0.2761904761904752,249,-0.9307239310379793,-0.3657225234972692,0.9659258262890683,-0.25881904510252063
1.0,0.10657193174724214,0.6111111111111112,0.8571428571428571,0.6860465116279069,0.125,0.28571428571428825,9910,-0.9307239310379793,-0.3657225234972692,0.49999999999999994,-0.8660254037844387
1.0,0.01755599106604005,0.6111111111111112,0.8571428571428571,0.5232558139534884,0.25,0.25714285714285623,28515,-0.9307239310379793,-0.3657225234972692,-0.2588190451025208,-0.9659258262890683
1.0,0.2340812515383637,0.6111111111111112,0.8571428571428571,0.5465116279069768,0.35000000000000003,0.20952380952380878,17490,-0.9307239310379793,-0.3657225234972692,-0.8660254037844385,-0.5000000000000004
1.0,0.450606512927311,0.6111111111111112,0.8571428571428571,0.6860465116279069,0.15000000000000002,0.22857142857142776,773,-0.9307239310379793,-0.3657225234972692,-0.9659258262890684,0.2588190451025203
0.0,0.6671317733996346,0.6111111111111112,0.8571428571428571,0.8488372093023255,0.15000000000000002,0.25714285714285623,0,-0.9307239310379793,-0.3657225234972692,-0.5000000000000004,0.8660254037844384
0.0,0.7593190438441428,0.5833333333333335,0.5714285714285714,0.8139534883720929,0.17500000000000002,0.26666666666666927,0,-0.9368813462954315,-0.34964745525122826,0.25881904510252074,0.9659258262890683
0.0,0.5419379520781316,0.5833333333333335,0.5714285714285714,0.7441860465116279,0.17500000000000002,0.25714285714285623,0,-0.9368813462954315,-0.34964745525122826,0.8660254037844386,0.5000000000000001
1.0,0.3245568593954966,0.5833333333333335,0.5714285714285714,0.7790697674418605,0.2,0.28571428571428825,65,-0.9368813462954315,-0.34964745525122826,0.9659258262890683,-0.25881904510252063
1.0,0.10717576762948527,0.5833333333333335,0.5714285714285714,0.6860465116279069,0.125,0.3047619047619037,5219,-0.9368813462954315,-0.34964745525122826,0.49999999999999994,-0.8660254037844387
1.0,0.017807985560861002,0.5833333333333335,0.5714285714285714,0.569767441860465,0.375,0.26666666666666927,10789,-0.9368813462954315,-0.34964745525122826,-0.2588190451025208,-0.9659258262890683
1.0,0.23518907732687236,0.5833333333333335,0.5714285714285714,0.627906976744186,0.5,0.24761904761904674,5208,-0.9368813462954315,-0.34964745525122826,-0.8660254037844385,-0.5000000000000004
1.0,0.4525701690928837,0.5833333333333335,0.5714285714285714,0.7441860465116279,0.17500000000000002,0.24761904761904674,60,-0.9368813462954315,-0.34964745525122826,-0.9659258262890684,0.2588190451025203
0.0,0.6699512617755186,0.5833333333333335,0.5714285714285714,0.7790697674418605,0.325,0.26666666666666927,0,-0.9368813462954315,-0.34964745525122826,-0.5000000000000004,0.8660254037844384
